Name, time, alt, az
STARLINK-1226           , 2020-06-04 23:01:00+01:00, 38.98, 228.48
STARLINK-1219           , 2020-06-04 23:02:00+01:00, 70.06, 280.23
STARLINK-1215           , 2020-06-04 23:02:00+01:00, 39.69, 221.36
STARLINK-1217           , 2020-06-04 23:04:00+01:00, 39.28, 210.51
STARLINK-1229           , 2020-06-04 23:04:00+01:00, 38.61, 226.04
STARLINK-1192           , 2020-06-04 23:05:00+01:00, 64.92, 39.23
STARLINK-1270           , 2020-06-04 23:05:00+01:00, 38.91, 220.09
STARLINK-1211           , 2020-06-04 23:07:00+01:00, 70.50, 272.64
STARLINK-1189           , 2020-06-04 23:07:00+01:00, 38.31, 202.34
STARLINK-1188           , 2020-06-04 23:08:00+01:00, 37.67, 201.57
STARLINK-1244           , 2020-06-04 23:10:00+01:00, 64.47, 42.73
STARLINK-1191           , 2020-06-04 23:11:00+01:00, 34.12, 190.44
STARLINK-1221           , 2020-06-04 23:11:00+01:00, 33.83, 230.84
STARLINK-1245           , 2020-06-04 23:12:00+01:00, 70.56, 264.32
STARLINK-1222           , 2020-06-04 23:12:00+01:00, 33.76, 228.58
STARLINK-1214           , 2020-06-04 23:13:00+01:00, 33.42, 227.77
STARLINK-29             , 2020-06-04 23:14:00+01:00, 35.57, 129.64
STARLINK-1138           , 2020-06-04 23:15:00+01:00, 64.38, 45.47
STARLINK-1233           , 2020-06-04 23:17:00+01:00, 69.87, 256.17
STARLINK-1143           , 2020-06-04 23:20:00+01:00, 64.44, 48.56
STARLINK-1204           , 2020-06-04 23:22:00+01:00, 68.78, 248.38
STARLINK-1241           , 2020-06-04 23:25:00+01:00, 65.38, 49.48
STARLINK-1238           , 2020-06-04 23:27:00+01:00, 67.68, 239.64
STARLINK-1239           , 2020-06-04 23:30:00+01:00, 64.97, 54.53
STARLINK-1201           , 2020-06-04 23:32:00+01:00, 65.03, 235.70
STARLINK-1240           , 2020-06-04 23:35:00+01:00, 65.23, 58.41
STARLINK-1206           , 2020-06-04 23:37:00+01:00, 62.95, 229.78
STARLINK-1216           , 2020-06-04 23:40:00+01:00, 65.53, 62.63
STARLINK-1205           , 2020-06-04 23:42:00+01:00, 60.50, 224.94
STARLINK-1237           , 2020-06-04 23:45:00+01:00, 66.08, 66.74
STARLINK-1218           , 2020-06-04 23:47:00+01:00, 57.73, 222.06
STARLINK-52             , 2020-06-04 23:49:00+01:00, 56.65, 160.01
STARLINK-1202           , 2020-06-04 23:49:00+01:00, 66.31, 309.66
STARLINK-1203           , 2020-06-04 23:49:00+01:00, 67.19, 310.30
STARLINK-1254           , 2020-06-04 23:52:00+01:00, 55.10, 217.97
STARLINK-1231           , 2020-06-04 23:57:00+01:00, 52.25, 215.84
STARLINK-1246           , 2020-06-04 23:59:00+01:00, 67.60, 303.22
STARLINK-1338           , 2020-06-05 00:01:00+01:00, 31.56, 139.79
STARLINK-1232           , 2020-06-05 00:02:00+01:00, 49.35, 215.37
STARLINK-1224           , 2020-06-05 00:04:00+01:00, 68.62, 299.48
STARLINK-1208           , 2020-06-05 00:07:00+01:00, 46.62, 212.56
STARLINK-1371           , 2020-06-05 00:08:00+01:00, 33.86, 161.62
STARLINK-1225           , 2020-06-05 00:09:00+01:00, 69.23, 294.62
STARLINK-1271           , 2020-06-05 00:12:00+01:00, 43.91, 212.50
STARLINK-1341           , 2020-06-05 00:12:00+01:00, 36.15, 158.41
STARLINK-1230           , 2020-06-05 00:14:00+01:00, 70.29, 289.12
STARLINK-1374           , 2020-06-05 00:16:00+01:00, 38.28, 155.80
STARLINK-1154           , 2020-06-05 00:17:00+01:00, 41.31, 211.24
STARLINK-1243           , 2020-06-05 00:19:00+01:00, 70.81, 282.48
STARLINK-1339           , 2020-06-05 00:20:00+01:00, 40.55, 152.67
STARLINK-1197           , 2020-06-05 00:22:00+01:00, 38.83, 209.86
STARLINK-1236           , 2020-06-05 00:24:00+01:00, 72.23, 274.17
STARLINK-1377           , 2020-06-05 00:24:00+01:00, 41.77, 162.08
STARLINK-1198           , 2020-06-05 00:27:00+01:00, 36.43, 209.63
STARLINK-1353           , 2020-06-05 00:28:00+01:00, 44.13, 161.93
STARLINK-1199           , 2020-06-05 00:32:00+01:00, 34.16, 209.18
STARLINK-1375           , 2020-06-05 00:32:00+01:00, 47.23, 151.89
STARLINK-1269           , 2020-06-05 00:34:00+01:00, 71.60, 256.32
STARLINK-1350           , 2020-06-05 00:36:00+01:00, 49.04, 162.17
STARLINK-1210           , 2020-06-05 00:37:00+01:00, 31.98, 209.09
STARLINK-1200           , 2020-06-05 00:39:00+01:00, 70.70, 247.13
STARLINK-1352           , 2020-06-05 00:40:00+01:00, 51.30, 165.40
STARLINK-1192           , 2020-06-05 00:44:00+01:00, 68.48, 241.44
STARLINK-1368           , 2020-06-05 00:44:00+01:00, 53.57, 169.14
STARLINK-1369           , 2020-06-05 00:48:00+01:00, 55.64, 174.14
STARLINK-1244           , 2020-06-05 00:49:00+01:00, 66.88, 233.34
STARLINK-29             , 2020-06-05 00:50:00+01:00, 62.60, 46.02
STARLINK-1372           , 2020-06-05 00:52:00+01:00, 57.49, 180.04
STARLINK-1138           , 2020-06-05 00:54:00+01:00, 64.60, 227.51
STARLINK-1378           , 2020-06-05 00:56:00+01:00, 61.08, 177.23
STARLINK-1143           , 2020-06-05 00:59:00+01:00, 62.01, 222.97
STARLINK-1379           , 2020-06-05 01:00:00+01:00, 59.91, 194.93
STARLINK-1329           , 2020-06-05 01:03:00+01:00, 64.68, 186.53
STARLINK-1241           , 2020-06-05 01:04:00+01:00, 58.94, 221.47
STARLINK-1362           , 2020-06-05 01:07:00+01:00, 64.72, 198.72
STARLINK-1239           , 2020-06-05 01:09:00+01:00, 56.32, 216.95
STARLINK-1373           , 2020-06-05 01:12:00+01:00, 63.94, 106.26
STARLINK-1240           , 2020-06-05 01:14:00+01:00, 53.41, 214.55
STARLINK-1322           , 2020-06-05 01:14:00+01:00, 67.46, 238.23
STARLINK-1320           , 2020-06-05 01:14:00+01:00, 83.99, 174.26
STARLINK-1294           , 2020-06-05 01:15:00+01:00, 84.66, 178.25
STARLINK-1261           , 2020-06-05 01:15:00+01:00, 66.93, 240.70
STARLINK-1324           , 2020-06-05 01:15:00+01:00, 72.23, 89.06
STARLINK-1390           , 2020-06-05 01:16:00+01:00, 71.71, 117.39
STARLINK-1325           , 2020-06-05 01:16:00+01:00, 70.66, 85.71
STARLINK-1334           , 2020-06-05 01:16:00+01:00, 65.36, 243.49
STARLINK-1333           , 2020-06-05 01:16:00+01:00, 85.17, 188.92
STARLINK-1323           , 2020-06-05 01:17:00+01:00, 85.12, 205.90
STARLINK-1326           , 2020-06-05 01:17:00+01:00, 74.60, 86.45
STARLINK-1349           , 2020-06-05 01:17:00+01:00, 64.94, 245.55
STARLINK-1336           , 2020-06-05 01:18:00+01:00, 72.66, 82.66
STARLINK-1344           , 2020-06-05 01:18:00+01:00, 64.78, 247.56
STARLINK-1331           , 2020-06-05 01:18:00+01:00, 84.68, 221.79
STARLINK-1365           , 2020-06-05 01:18:00+01:00, 74.99, 119.36
STARLINK-1216           , 2020-06-05 01:19:00+01:00, 50.50, 212.85
STARLINK-1346           , 2020-06-05 01:19:00+01:00, 84.15, 233.32
STARLINK-1328           , 2020-06-05 01:19:00+01:00, 64.28, 249.35
STARLINK-1343           , 2020-06-05 01:19:00+01:00, 73.04, 80.41
STARLINK-1354           , 2020-06-05 01:20:00+01:00, 75.08, 78.90
STARLINK-1357           , 2020-06-05 01:20:00+01:00, 63.69, 251.23
STARLINK-1347           , 2020-06-05 01:20:00+01:00, 83.55, 242.51
STARLINK-1327           , 2020-06-05 01:21:00+01:00, 82.64, 249.86
STARLINK-1335           , 2020-06-05 01:21:00+01:00, 74.73, 76.16
STARLINK-1340           , 2020-06-05 01:21:00+01:00, 59.88, 253.11
STARLINK-1355           , 2020-06-05 01:22:00+01:00, 62.17, 254.66
STARLINK-1356           , 2020-06-05 01:22:00+01:00, 76.65, 73.43
STARLINK-1345           , 2020-06-05 01:22:00+01:00, 80.01, 255.44
STARLINK-1358           , 2020-06-05 01:23:00+01:00, 81.27, 260.40
STARLINK-1321           , 2020-06-05 01:23:00+01:00, 77.07, 70.47
STARLINK-1332           , 2020-06-05 01:23:00+01:00, 60.78, 256.19
STARLINK-1237           , 2020-06-05 01:24:00+01:00, 47.67, 211.76
STARLINK-1348           , 2020-06-05 01:24:00+01:00, 78.51, 66.55
STARLINK-1363           , 2020-06-05 01:24:00+01:00, 60.45, 257.60
STARLINK-1330           , 2020-06-05 01:24:00+01:00, 79.69, 263.54
STARLINK-52             , 2020-06-05 01:25:00+01:00, 62.97, 329.99
STARLINK-1342           , 2020-06-05 01:25:00+01:00, 78.36, 266.24
STARLINK-1337           , 2020-06-05 01:25:00+01:00, 78.39, 63.48
STARLINK-1376           , 2020-06-05 01:26:00+01:00, 79.22, 59.00
STARLINK-1360           , 2020-06-05 01:26:00+01:00, 78.40, 270.07
STARLINK-1364           , 2020-06-05 01:26:00+01:00, 60.30, 69.68
STARLINK-1367           , 2020-06-05 01:27:00+01:00, 81.56, 51.98
STARLINK-1361           , 2020-06-05 01:27:00+01:00, 61.03, 68.47
STARLINK-1366           , 2020-06-05 01:27:00+01:00, 75.77, 270.19
STARLINK-1202           , 2020-06-05 01:29:00+01:00, 44.94, 209.22
STARLINK-1203           , 2020-06-05 01:29:00+01:00, 44.92, 218.85
STARLINK-1246           , 2020-06-05 01:39:00+01:00, 39.68, 209.23
STARLINK-1338           , 2020-06-05 01:39:00+01:00, 68.88, 257.10
STARLINK-1224           , 2020-06-05 01:44:00+01:00, 37.24, 208.93
STARLINK-1371           , 2020-06-05 01:47:00+01:00, 82.29, 297.34
STARLINK-1225           , 2020-06-05 01:49:00+01:00, 34.93, 209.00
STARLINK-1341           , 2020-06-05 01:51:00+01:00, 82.90, 335.74
STARLINK-1230           , 2020-06-05 01:54:00+01:00, 32.71, 208.66
STARLINK-1374           , 2020-06-05 01:55:00+01:00, 81.17, 358.99
STARLINK-1243           , 2020-06-05 01:59:00+01:00, 30.62, 208.71
STARLINK-1339           , 2020-06-05 01:59:00+01:00, 78.76, 12.03
STARLINK-1377           , 2020-06-05 02:03:00+01:00, 77.81, 337.20
STARLINK-1353           , 2020-06-05 02:07:00+01:00, 76.47, 342.45
STARLINK-1375           , 2020-06-05 02:11:00+01:00, 74.65, 8.98
STARLINK-1350           , 2020-06-05 02:15:00+01:00, 74.05, 346.30
STARLINK-1352           , 2020-06-05 02:19:00+01:00, 72.65, 339.15
STARLINK-1368           , 2020-06-05 02:23:00+01:00, 71.02, 332.63
STARLINK-29             , 2020-06-05 02:26:00+01:00, 70.35, 27.69
STARLINK-1369           , 2020-06-05 02:27:00+01:00, 69.11, 326.25
STARLINK-28             , 2020-06-05 02:29:00+01:00, 32.15, 130.10
STARLINK-1372           , 2020-06-05 02:31:00+01:00, 66.91, 320.36
STARLINK-1378           , 2020-06-05 02:35:00+01:00, 67.03, 324.59
STARLINK-1379           , 2020-06-05 02:39:00+01:00, 61.58, 310.07
STARLINK-1329           , 2020-06-05 02:42:00+01:00, 64.30, 318.51
STARLINK-33             , 2020-06-05 02:46:00+01:00, 38.84, 142.71
STARLINK-1040           , 2020-06-05 02:46:00+01:00, 58.17, 220.45
STARLINK-1362           , 2020-06-05 02:46:00+01:00, 61.12, 311.89
STARLINK-1290           , 2020-06-05 02:50:00+01:00, 30.96, 161.81
STARLINK-1322           , 2020-06-05 02:50:00+01:00, 58.53, 329.33
STARLINK-1320           , 2020-06-05 02:50:00+01:00, 62.71, 8.09
STARLINK-1373           , 2020-06-05 02:51:00+01:00, 64.59, 34.84
STARLINK-1294           , 2020-06-05 02:51:00+01:00, 62.93, 7.82
STARLINK-1261           , 2020-06-05 02:51:00+01:00, 58.36, 328.74
